"COL_NAME"	"COLLABEL"	"EXT_DESC"	"DATATYPE"	"COLWIDTH"	"COL_FMT"	"UNITS"	"PRMRYKEY"	"MINIMUM"	"MAXIMUM"	"MISSVALS"	"WT_NAME"	"WT_TYPE"	"COMMENTS"	"CHECKSUM"	"COL_NUM"
"MATRIX"	"Sampling medium"	""	"NUMBER"	2	"F2.0"	""	""	"1"	"1"	""	""	"N"	"Important: Read about data constraints in the readme file or in EIMS"	"1010"	1
"ANLYTCLS"	"Analyte class"	""	"CHARACTER"	1	"A1"	""	""	""	""	""	""	"N"	""	""	2
"SAMP_LOC"	"Sampling location"	""	"NUMBER"	2	"F2.0"	""	""	"1"	"10"	""	""	"N"	""	"2580"	3
"VISIT"	"Visit number for household"	""	"CHARACTER"	1	"A1"	""	""	""	""	""	""	"N"	""	""	4
"SAMPMTHD"	"Sampling method"	""	"NUMBER"	2	"F2.0"	""	""	"12"	"12"	""	""	"N"	""	"12120"	5
"SAMPDEVC"	"Sampling device"	""	"NUMBER"	2	"F2.0"	""	""	"13"	"13"	""	""	"N"	""	"13130"	6
"ANLYTMTH"	"Analytical method"	""	"NUMBER"	2	"F2.0"	""	""	"6"	"6"	""	""	"N"	""	"6060"	7
"SURVID"	"SURVID"	""	"CHARACTER"	8	"A8"	""	""	""	""	""	""	"N"	""	""	8
"PARID"	"Participant ID"	""	"CHARACTER"	3	"A3"	""	""	""	""	""	""	"N"	""	""	9
"STRTDATE"	"Start Date for Samp_id"	""	"NUMBER"	8	"F8.0"	""	""	"19950724"	"19970623"	""	""	"N"	""	"20161434164"	10
"STOPDATE"	"End Date for Samp_id"	""	"NUMBER"	8	"F8.0"	""	""	"19950730"	"19970702"	""	""	"N"	""	"20161446376"	11
"SAMP_ID"	"Sample ID"	""	"CHARACTER"	8	"A8"	""	"P"	""	""	""	""	"N"	""	""	12
"SMPTPCDC"	"Sample type code for concentration"	"Sample type code - combination of sampling medium, analyte class, sampling location, and sampling method"	"CHARACTER"	3	"A3"	""	""	""	""	""	""	"N"	""	""	13
"SMPTPCDL"	"Sample type code for loading"	"Sample type code - combination of sampling medium, analyte class, sampling location, and sampling method"	"CHARACTER"	3	"A3"	""	""	""	""	""	""	"N"	""	""	14
"SMPTPCDI"	"Sample type code for intake"	"Sample type code - combination of sampling medium, analyte class, sampling location, and sampling method"	"CHARACTER"	3	"A3"	""	""	""	""	""	""	"N"	""	""	15
"SAMPTYPE"	"Sample type description"	""	"CHARACTER"	25	"A25"	""	""	""	""	""	""	"N"	""	""	16
"REPFLG"	"Replicate flag"	""	"NUMBER"	1	"F1.0"	""	""	"0"	"1"	""	""	"N"	""	"59"	17
"APSU"	"Primary sampling unit"	""	"NUMBER"	2	"F2.0"	""	""	"2"	"33"	""	""	"N"	""	"17895"	18
"ASTRATUM"	"Analysis stratum"	""	"NUMBER"	1	"F1.0"	""	""	"1"	"4"	""	""	"N"	""	"2410"	19
"VWTNAM"	"Name of visit-specific sampling wt"	""	"CHARACTER"	8	"A8"	""	""	""	""	""	""	"N"	""	""	20
"CWTNAM"	"Name of combined sampling wt"	""	"CHARACTER"	8	"A8"	""	""	""	""	""	""	"N"	""	""	21
"AWTNAM"	"Name of annualized sampling wt"	""	"CHARACTER"	8	"A8"	""	""	""	""	""	""	"N"	""	""	22
"VSAMPWT"	"Visit-specific sampling wt"	""	"NUMBER"	11	"F11.3"	""	""	"1"	"2678392.175"	""	""	"N"	""	"213586783.153"	23
"CSAMPWT"	"Combined sampling wt"	""	"NUMBER"	11	"F11.3"	""	""	"0"	"909191.131"	""	""	"N"	""	"83334057.077"	24
"ASAMPWT"	"Annualized sampling wt"	""	"NUMBER"	11	"F11.3"	""	""	"0"	"908462.971"	""	""	"N"	""	"83678241.079"	25
"CIDV001"	"V001 - 1,1,1-TCA"	"V001 - 1,1,1-Trichloroethane: Chemid in Region_5 = 101"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	26
"CONCV001"	"CONC:1,1,1-TCA-Air(ug/m3)"	"Concentration for V001"	"NUMBER"	14	"F14.7"	"ug/m3"	""	"0"	"2604"	""	""	"H,P"	""	"11340.19119"	27
"DLCV001"	"CDTLM:1,1,1-TCA-Air(ug/m3)"	"Detection limit or Quantitation limit for CONCV001"	"NUMBER"	14	"F14.7"	"ug/m3"	""	".9199"	"6.216"	"-333"	""	"N"	""	"-243372.6201"	28
"USECV001"	"CDQFG:1,1,1-TCA-Air"	"Data quality flag for CONCV001"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"146"	29
"CMTCV001"	"CDQI:1,1,1-TCA-Air"	"Data quality indicator for CONCV001"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	30
"DFLCV001"	"CDTIN:1,1,1-TCA-Air"	"100*Detection indicator for CONCV001"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"73200"	31
"UNTCV001"	"CUNIT:1,1,1-TCA-Air"	"Measurement units  for CONCV001"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	32
"AN1CV001"	"FCONC:1,1,1-TCA-Air(ug/m3)"	"Final concentration for V001"	"NUMBER"	14	"F14.7"	"ug/m3"	""	"0"	"2604"	""	""	"H,P"	""	"11323.85709"	33
"AN2CV001"	"FCDTN:1,1,1-TCA-Air"	"100*Detection indicator for AN1CV001"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"73700"	34
