"COL_NAME"	"CHAR_VAL"	"NUM_VAL"	"SHRTDESC"	"EXT_DESC"
"MATRIX"	"1"	1	"AIR"	"AIR"
"MATRIX"	"2"	2	"DUST"	"DUST"
"MATRIX"	"3"	3	"SOIL"	"SOIL"
"MATRIX"	"4"	4	"WATER"	"WATER"
"MATRIX"	"5"	5	"FOOD"	"FOOD"
"MATRIX"	"6"	6	"BLOOD"	"BLOOD"
"MATRIX"	"7"	7	"URINE"	"URINE"
"MATRIX"	"8"	8	"DERMAL"	"DERMAL"
"MATRIX"	"9"	9	"HAIR"	"HAIR"
"ANLYTCLS"	"M"		"METALS"	"METALS"
"ANLYTCLS"	"V"		"VOC"	"Volatile organic compound"
"ANLYTCLS"	"Z"		"MISCELLANEOUS CHEMS"	"MISCELLANEOUS CHEMICALS"
"SAMP_LOC"	"1"	1	"PERSONAL"	"PERSONAL"
"SAMP_LOC"	"2"	2	"INDOOR"	"INDOOR"
"SAMP_LOC"	"3"	3	"OUTDOOR"	"OUTDOOR"
"SAMP_LOC"	"4"	4	"WINDOW SILL"	"WINDOW SILL"
"SAMP_LOC"	"5"	5	"CARPET"	"CARPET"
"SAMP_LOC"	"6"	6	"ENTRANCE WAY"	"ENTRANCE WAY"
"SAMP_LOC"	"7"	7	"STANDING WATER"	"STANDING WATER"
"SAMP_LOC"	"8"	8	"FLUSHED WATER"	"FLUSHED WATER"
"SAMP_LOC"	"9"	9	"BOTTLED WATER"	"BOTTLED WATER"
"SAMP_LOC"	"10"	10	"OCCUPATIONAL"	"OCCUPATIONAL"
"SAMP_LOC"	"11"	11	"DRINKING WATER"	"DRINKING WATER"
"SAMP_LOC"	"12"	12	"BLOOD"	"BLOOD"
"SAMP_LOC"	"13"	13	"YARD"	"YARD"
"VISIT"	"1"		"1ST MONITORING VISIT"	"FIRST MONITORING VISIT"
"VISIT"	"2"		"2ND MONITORING VISIT"	"SECOND MONITORING VISIT (VIA MAIL)"
"VISIT"	"3"		"3RD MONITORING VISIT"	"THIRD MONITORING VISIT (VIA MAIL)"
"SAMPMTHD"	"1"	1	"SURFACE WIPE"	"SURFACE WIPE"
"SAMPMTHD"	"2"	2	"DEPOSITION"	"DEPOSITION"
"SAMPMTHD"	"3"	3	"PUMP"	"PUMP"
"SAMPMTHD"	"4"	4	"COMPOSITE SAMPLE"	"COMPOSITE SAMPLE"
"SAMPMTHD"	"5"	5	"STANDING > 4 HOUR"	"Standing > 4 hour"
"SAMPMTHD"	"6"	6	"FLUSHED 3 MINUTES"	"Flushed 3 Minutes"
"SAMPMTHD"	"7"	7	"RAIN SAMPLE"	"Rain Sample"
"SAMPMTHD"	"8"	8	"DUPLICATE DIET"	"Duplicate Diet"
"SAMPMTHD"	"9"	9	"VENIPUNCTURE"	"Venipuncture"
"SAMPMTHD"	"10"	10	"SCALP HAIR"	"Scalp Hair"
"SAMPMTHD"	"11"	11	"MORNING VOID"	"Morning Void"
"SAMPMTHD"	"12"	12	"PASSIVE"	"Passive"
"SAMPMTHD"	"13"	13	"FLUSHED 3 MIN./POUR"	"Flushed 3 Min./Pour"
"SAMPDEVC"	"1"	1	"LWW NUCLEOPORE"	"Lioy-Wainman-Weisel Nucleopore Filter(wipe sampler)"
"SAMPDEVC"	"2"	2	"WW TOWEL"	"Wet Wipe Towel"
"SAMPDEVC"	"3"	3	"IOM TEFLON FILTER"	"Institute of Occupational Medicine size-selective aerosol inlet(PM<50um)"
"SAMPDEVC"	"4"	4	"PM TEFLON FILTER"	"Size selective aerosol inlet for particulate matter<10 um(median aerodynamic diameter)"
"SAMPDEVC"	"5"	5	"PLATE"	"Clean, Flat Plate"
"SAMPDEVC"	"6"	6	"CARPET MAT"	"Small pre-weighed section of Carpet"
"SAMPDEVC"	"7"	7	"SWEEP"	"Sweep"
"SAMPDEVC"	"8"	8	"RING"	"Ring"
"SAMPDEVC"	"9"	9	"POLYETHYLENE"	"Polyethylene"
"SAMPDEVC"	"10"	10	"VACUTAINERS"	"VACUTAINERS"
"SAMPDEVC"	"11"	11	"THINNING SHEARS"	"Thinning Shears"
"SAMPDEVC"	"12"	12	"BOTTLE"	"Bottle"
"SAMPDEVC"	"13"	13	"3M 3520 VOM BADGE"	"3M 3520 VOM Badge"
